Description,Type,Water Depth,Latitude,Longitude,USGS HUC Code,Characteristic,Result Value,Units,Project Name,Sample Date,Value Type,Depth,Depth Units,Sample Time
,,,,,,Total Total Alkalinity,62,mg CaCO3/L,WCMP,3/14/2006,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen,2.5,mg/L,WCMP,3/14/2006,Actual,,,
,,,,,,Total Total Ortho Phosphate,,mg/L,WCMP,3/14/2006,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),12.4,mg/L,WCMP,3/14/2006,Actual,,,
,,,,,,Total pH (Lab),7.6,pH,WCMP,3/14/2006,Actual,,,
,,,,,,Total Total Ammonia,,mg/L,WCMP,3/14/2006,Actual,,,
,,,,,,Total Total Calcium,33.1,mg/L,WCMP,3/14/2006,Actual,,,
,,,,,,Total Total Dissolved Solids,180,mg/L,WCMP,3/14/2006,Actual,,,
,,,,,,Total Total Nitrite,,mg/L,WCMP,3/14/2006,Actual,,,
,,,,,,Total Total Phosphorus,0.65,mg/L,WCMP,3/14/2006,Actual,,,
,,,,,,Total Total Potassium,6.6,mg/L,WCMP,3/14/2006,Actual,,,
,,,,,,Total Conductivity (Field),623,umhos/cm,WCMP,11/8/2007,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),10.8,mg/L,WCMP,11/8/2007,Actual,,,
,,,,,,Total pH (Lab),8.09,pH,WCMP,11/8/2007,Actual,,,
,,,,,,Total Total Ammonia,0.013,mg/L,WCMP,11/8/2007,Actual,,,
,,,,,,Total Total Potassium,2.7,mg/L,WCMP,11/8/2007,Actual,,,
,,,,,,Total Hardness Ca2CO3,205,mg/L,WCMP,11/8/2007,Actual,,,
,,,,,,Total Total Magnesium,18.4,mg/L,WCMP,11/8/2007,Actual,,,
,,,,,,Total Total Nitrate,0.146,mg/L,WCMP,11/8/2007,Actual,,,
,,,,,,Total Total Nitrite,0.003,mg/L,WCMP,11/8/2007,Actual,,,
,,,,,,Total Total Organic Carbon,3.6,mg/L,WCMP,11/8/2007,Actual,,,
,,,,,,Total Total Phosphorus,0.025,mg/L,WCMP,11/8/2007,Actual,,,
,,,,,,Total Total Sulfate,40,mg/L,WCMP,11/8/2007,Actual,,,
,,,,,,Total Total Suspended Solids,7,mg/L,WCMP,11/8/2007,Actual,,,
,,,,,,Total Temperature of Water,5.8,C,WCMP,11/8/2007,Actual,,,
,,,,,,Total Total Alkalinity,156,mg CaCO3/L,WCMP,11/8/2007,Actual,,,
,,,,,,Total Total Sodium,27.6,mg/L,WCMP,11/8/2007,Actual,,,
,,,,,,Total Conductivity (Lab),530,umhos/cm,WCMP,11/8/2007,Actual,,,
,,,,,,Total pH (Field),8,pH,WCMP,11/8/2007,Actual,,,
,,,,,,Total Total Calcium,51.9,mg/L,WCMP,11/8/2007,Actual,,,
,,,,,,Total Total Dissolved Solids,340,mg/L,WCMP,11/8/2007,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen,0.31,mg/L,WCMP,11/8/2007,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.007,mg/L,WCMP,11/8/2007,Actual,,,
,,,,,,Total Turbidity,9.7,NTU,WCMP,11/8/2007,Actual,,,
,,,,,,Total pH (Field),7.8,pH,WCMP,10/6/2009,Actual,,,
,,,,,,Total Temperature of Water,13.1,C,WCMP,10/6/2009,Actual,,,
,,,,,,Total Total Alkalinity,218,mg CaCO3/L,WCMP,10/6/2009,Actual,,,
,,,,,,Total Total Phosphorus,0.035,mg/L,WCMP,10/6/2009,Actual,,,
,,,,,,Total Conductivity (Lab),697,umhos/cm,WCMP,10/6/2009,Actual,,,
,,,,,,Total Hardness Ca2CO3,282,mg/L,WCMP,10/6/2009,Actual,,,
,,,,,,Total pH (Lab),8.19,pH,WCMP,10/6/2009,Actual,,,
,,,,,,Total Total Ammonia,0.006,mg/L,WCMP,10/6/2009,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen,0.41,mg/L,WCMP,10/6/2009,Actual,,,
,,,,,,Total Total Sulfate,76,mg/L,WCMP,10/6/2009,Actual,,,
,,,,,,Total Turbidity,7.9,NTU,WCMP,10/6/2009,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),8.4,mg/L,WCMP,10/6/2009,Actual,,,
,,,,,,Total Total Nitrate,0.061,mg/L,WCMP,10/6/2009,Actual,,,
,,,,,,Total Total Nitrite,0.002,mg/L,WCMP,10/6/2009,Actual,,,
,,,,,,Total Total Potassium,3.45,mg/L,WCMP,10/6/2009,Actual,,,
,,,,,,Total Total Sodium,35.5,mg/L,WCMP,10/6/2009,Actual,,,
,,,,,,Total Total Suspended Solids,8,mg/L,WCMP,10/6/2009,Actual,,,
,,,,,,Total Conductivity (Field),710,umhos/cm,WCMP,10/6/2009,Actual,,,
,,,,,,Total Total Calcium,69.7,mg/L,WCMP,10/6/2009,Actual,,,
,,,,,,Total Total Dissolved Solids,450,mg/L,WCMP,10/6/2009,Actual,,,
,,,,,,Total Total Magnesium,26.3,mg/L,WCMP,10/6/2009,Actual,,,
,,,,,,Total Total Organic Carbon,4.2,mg/L,WCMP,10/6/2009,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.004,mg/L,WCMP,10/6/2009,Actual,,,
,,,,,,Total Conductivity (Field),536,umhos/cm,WCMP,10/29/2013,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),11.1,mg/L,WCMP,10/29/2013,Actual,,,
,,,,,,Total pH (Lab),8.11,pH,WCMP,10/29/2013,Actual,,,
,,,,,,Total Total Ammonia,0.006762,mg/L,WCMP,10/29/2013,Actual,,,
,,,,,,Total Total Potassium,3.197,mg/L,WCMP,10/29/2013,Actual,,,
,,,,,,Total Conductivity (Lab),595,umhos/cm,WCMP,10/29/2013,Actual,,,
,,,,,,Total Nitrate + Nitrite,0.154709,mg/L,WCMP,10/29/2013,Actual,,,
,,,,,,Total pH (Field),8.4,pH,WCMP,10/29/2013,Actual,,,
,,,,,,Total Temperature of Water,8,° C,WCMP,10/29/2013,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen,0.425,mg/L,WCMP,10/29/2013,Actual,,,
,,,,,,Total Total Sodium,25.84,mg/L,WCMP,10/29/2013,Actual,,,
,,,,,,Total Total Sulfate,50.61145,mg/L,WCMP,10/29/2013,Actual,,,
,,,,,,Total Chloride,51.35213,mg/L,WCMP,10/29/2013,Actual,,,
,,,,,,Total Total Alkalinity,128.1082,mg/L,WCMP,10/29/2013,Actual,,,
,,,,,,Total Total Magnesium,17.43,mg/L,WCMP,10/29/2013,Actual,,,
,,,,,,Total Total Nitrite,0.002214,mg/L,WCMP,10/29/2013,Actual,,,
,,,,,,Total Total Organic Carbon,3.8,mg/L,WCMP,10/29/2013,Actual,,,
,,,,,,Total Turbidity,15.8,NTU,WCMP,10/29/2013,Actual,,,
,,,,,,Total Total Calcium,49.49,mg/L,WCMP,10/29/2013,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.009159,mg/L,WCMP,10/29/2013,Actual,,,
,,,,,,Total Total Phosphorus,0.0411,mg/L,WCMP,10/29/2013,Actual,,,
,,,,,,Total Total Suspended Solids,10,mg/L,WCMP,10/29/2013,Actual,,,
,,,,,,Total pH (Lab),8.51,pH,WCMP,10/21/2008,Actual,,,
,,,,,,Total Temperature of Water,10.4,C,WCMP,10/21/2008,Actual,,,
,,,,,,Total Total Ammonia,0.009,mg/L,WCMP,10/21/2008,Actual,,,
,,,,,,Total Total Magnesium,31,mg/L,WCMP,10/21/2008,Actual,,,
,,,,,,Total Total Nitrate,0.83,mg/L,WCMP,10/21/2008,Actual,,,
,,,,,,Total Total Organic Carbon,9.6,mg/L,WCMP,10/21/2008,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.006,mg/L,WCMP,10/21/2008,Actual,,,
,,,,,,Total Conductivity (Field),844,umhos/cm,WCMP,10/21/2008,Actual,,,
,,,,,,Total Conductivity (Lab),885,umhos/cm,WCMP,10/21/2008,Actual,,,
,,,,,,Total Total Calcium,101,mg/L,WCMP,10/21/2008,Actual,,,
,,,,,,Total Total Nitrite,0.008,mg/L,WCMP,10/21/2008,Actual,,,
,,,,,,Total Total Suspended Solids,4,mg/L,WCMP,10/21/2008,Actual,,,
,,,,,,Total Turbidity,7.8,NTU,WCMP,10/21/2008,Actual,,,
,,,,,,Total Hardness Ca2CO3,380,mg/L,WCMP,10/21/2008,Actual,,,
,,,,,,Total pH (Field),8.2,pH,WCMP,10/21/2008,Actual,,,
,,,,,,Total Total Dissolved Solids,580,mg/L,WCMP,10/21/2008,Actual,,,
,,,,,,Total Total Potassium,4.7,mg/L,WCMP,10/21/2008,Actual,,,
,,,,,,Total Total Sodium,32.5,mg/L,WCMP,10/21/2008,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),11,mg/L,WCMP,10/21/2008,Actual,,,
,,,,,,Total Total Alkalinity,284,mg CaCO3/L,WCMP,10/21/2008,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen,1,mg/L,WCMP,10/21/2008,Actual,,,
,,,,,,Total Total Phosphorus,0.046,mg/L,WCMP,10/21/2008,Actual,,,
,,,,,,Total Total Sulfate,88,mg/L,WCMP,10/21/2008,Actual,,,
,,,,,,Total pH (Field),8,pH            ,WCMP,10/19/2012,Actual,,,
,,,,,,Total Temperature of Water,12.3,° C           ,WCMP,10/19/2012,Actual,,,
,,,,,,Total Total Nitrate,0.046,mg N/L        ,WCMP,10/19/2012,Actual,,,
,,,,,,Total Total Organic Carbon,4,mg/L          ,WCMP,10/19/2012,Actual,,,
,,,,,,Total Total Suspended Solids,8,mg/L          ,WCMP,10/19/2012,Actual,,,
,,,,,,Total Conductivity (Field),660,umhos/cm      ,WCMP,10/19/2012,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),7.8,mg/L          ,WCMP,10/19/2012,Actual,,,
,,,,,,Total Hardness Ca2CO3,288,mg/L          ,WCMP,10/19/2012,Actual,,,
,,,,,,Total Total Ammonia,0.011,mg N/L        ,WCMP,10/19/2012,Actual,,,
,,,,,,Total Total Dissolved Solids,480,mg/L          ,WCMP,10/19/2012,Actual,,,
,,,,,,Total Total Phosphorus                        ,0.024,mg P/L        ,WCMP,10/19/2012,Actual,,,
,,,,,,Total Chloride                                ,71,mg/L          ,WCMP,10/19/2012,Actual,,,
,,,,,,Total Nitrate + Nitrite                       ,0.047,mg N/L        ,WCMP,10/19/2012,Actual,,,
,,,,,,Total Total Alkalinity,220,mg/L          ,WCMP,10/19/2012,Actual,,,
,,,,,,Total Total Calcium,69,mg/L          ,WCMP,10/19/2012,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.38,mg N/L        ,WCMP,10/19/2012,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.004,mg P/L        ,WCMP,10/19/2012,Actual,,,
,,,,,,Total Total Sulfate,73,mg/L          ,WCMP,10/19/2012,Actual,,,
,,,,,,Total Turbidity,2.2,NTU           ,WCMP,10/19/2012,Actual,,,
,,,,,,Total Conductivity (Lab),744,umhos/cm      ,WCMP,10/19/2012,Actual,,,
,,,,,,Total pH (Lab),7.93,pH            ,WCMP,10/19/2012,Actual,,,
,,,,,,Total Total Magnesium,28,mg/L          ,WCMP,10/19/2012,Actual,,,
,,,,,,Total Total Nitrite,0.001,mg N/L        ,WCMP,10/19/2012,Actual,,,
,,,,,,Total Total Potassium,4.7,mg/L          ,WCMP,10/19/2012,Actual,,,
,,,,,,Total Total Sodium,30,mg/L          ,WCMP,10/19/2012,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),9,mg/L          ,WCMP,10/18/2011,Actual,,,
,,,,,,Total Total Ammonia,,mg/L,WCMP,10/18/2011,Actual,,,
,,,,,,Total Total Dissolved Solids,490,mg/L          ,WCMP,10/18/2011,Actual,,,
,,,,,,Total Total Phosphorus                        ,0.04,mg/L,WCMP,10/18/2011,Actual,,,
,,,,,,Total Total Sodium,37.3,mg/L          ,WCMP,10/18/2011,Actual,,,
,,,,,,Total Conductivity (Field),716,umhos/cm      ,WCMP,10/18/2011,Actual,,,
,,,,,,Total Hardness Ca2CO3,289,mg/L          ,WCMP,10/18/2011,Actual,,,
,,,,,,Total Nitrate + Nitrite                       ,,mg/L,WCMP,10/18/2011,Actual,,,
,,,,,,Total pH (Field),8,pH            ,WCMP,10/18/2011,Actual,,,
,,,,,,Total pH (Lab),8.16,pH            ,WCMP,10/18/2011,Actual,,,
,,,,,,Total Total Calcium,74.4,mg/L          ,WCMP,10/18/2011,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.68,mg/L,WCMP,10/18/2011,Actual,,,
,,,,,,Total Total Nitrite,0.002,mg/L,WCMP,10/18/2011,Actual,,,
,,,,,,Total Total Organic Carbon,5.2,mg/L          ,WCMP,10/18/2011,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.004,mg/L,WCMP,10/18/2011,Actual,,,
,,,,,,Total Total Potassium,4.8,mg/L          ,WCMP,10/18/2011,Actual,,,
,,,,,,Total Total Sulfate,42,mg/L          ,WCMP,10/18/2011,Actual,,,
,,,,,,Total Conductivity (Lab),754,umhos/cm      ,WCMP,10/18/2011,Actual,,,
,,,,,,Total Temperature of Water,12.2,° C           ,WCMP,10/18/2011,Actual,,,
,,,,,,Total Total Magnesium,25,mg/L          ,WCMP,10/18/2011,Actual,,,
,,,,,,Total Chloride                                ,72,mg/L          ,WCMP,10/18/2011,Actual,,,
,,,,,,Total Total Alkalinity,220,mg/L          ,WCMP,10/18/2011,Actual,,,
,,,,,,Total Total Nitrate,,mg/L,WCMP,10/18/2011,Actual,,,
,,,,,,Total Total Suspended Solids,15,mg/L          ,WCMP,10/18/2011,Actual,,,
,,,,,,Total Turbidity                               ,11,NTU           ,WCMP,10/18/2011,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),8.4,mg/L          ,WCMP,10/12/2010,Actual,,,
,,,,,,Total Total Organic Carbon,5,mg/L          ,WCMP,10/12/2010,Actual,,,
,,,,,,Total Total Sulfate,66,mg/L          ,WCMP,10/12/2010,Actual,,,
,,,,,,Total Turbidity                               ,10,NTU           ,WCMP,10/12/2010,Actual,,,
,,,,,,Total Conductivity (Lab),723,umhos/cm      ,WCMP,10/12/2010,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.44,mg/L,WCMP,10/12/2010,Actual,,,
,,,,,,Total Total Magnesium,27.8,mg/L          ,WCMP,10/12/2010,Actual,,,
,,,,,,Total Total Nitrite,0.004,mg/L,WCMP,10/12/2010,Actual,,,
,,,,,,Total Total Sodium,33.8,mg/L          ,WCMP,10/12/2010,Actual,,,
,,,,,,Total Total Suspended Solids,13,mg/L          ,WCMP,10/12/2010,Actual,,,
,,,,,,Total Conductivity (Field),729,umhos/cm      ,WCMP,10/12/2010,Actual,,,
,,,,,,Total pH (Field),8.3,pH            ,WCMP,10/12/2010,Actual,,,
,,,,,,Total pH (Lab),8.4,pH            ,WCMP,10/12/2010,Actual,,,
,,,,,,Total Temperature of Water,16.6,° C           ,WCMP,10/12/2010,Actual,,,
,,,,,,Total Total Alkalinity,219,mg CaCO3/L,WCMP,10/12/2010,Actual,,,
,,,,,,Total Total Dissolved Solids,470,mg/L          ,WCMP,10/12/2010,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.008,mg/L,WCMP,10/12/2010,Actual,,,
,,,,,,Total Total Potassium,4.4,mg/L          ,WCMP,10/12/2010,Actual,,,
,,,,,,Total Chloride                                ,57,mg/L          ,WCMP,10/12/2010,Actual,,,
,,,,,,Total Hardness Ca2CO3,298,mg/L          ,WCMP,10/12/2010,Actual,,,
,,,,,,Total Nitrate + Nitrite                       ,,mg/L,WCMP,10/12/2010,Actual,,,
,,,,,,Total Total Ammonia,0.008,mg/L,WCMP,10/12/2010,Actual,,,
,,,,,,Total Total Calcium,73.5,mg/L          ,WCMP,10/12/2010,Actual,,,
,,,,,,Total Total Nitrate,,mg/L,WCMP,10/12/2010,Actual,,,
,,,,,,Total Total Phosphorus                        ,0.042,mg/L,WCMP,10/12/2010,Actual,,,
,,,,,,Total Conductivity (Lab),708,umhos/cm,WCMP,10/11/2007,Actual,,,
,,,,,,Total pH (Lab),8.09,pH,WCMP,10/11/2007,Actual,,,
,,,,,,Total Total Ammonia,0.008,mg/L,WCMP,10/11/2007,Actual,,,
,,,,,,Total Total Calcium,63.1,mg/L,WCMP,10/11/2007,Actual,,,
,,,,,,Total Turbidity,12,NTU,WCMP,10/11/2007,Actual,,,
,,,,,,Total Hardness Ca2CO3,278,mg/L,WCMP,10/11/2007,Actual,,,
,,,,,,Total pH (Field),7.9,pH,WCMP,10/11/2007,Actual,,,
,,,,,,Total Temperature of Water,18.2,C,WCMP,10/11/2007,Actual,,,
,,,,,,Total Total Nitrite,0.002,mg/L,WCMP,10/11/2007,Actual,,,
,,,,,,Total Total Organic Carbon,5.2,mg/L,WCMP,10/11/2007,Actual,,,
,,,,,,Total Total Sodium,32.5,mg/L,WCMP,10/11/2007,Actual,,,
,,,,,,Total Conductivity (Field),693,umhos/cm,WCMP,10/11/2007,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),6.6,mg/L,WCMP,10/11/2007,Actual,,,
,,,,,,Total Total Dissolved Solids,460,mg/L,WCMP,10/11/2007,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen,0.45,mg/L,WCMP,10/11/2007,Actual,,,
,,,,,,Total Total Magnesium,29.3,mg/L,WCMP,10/11/2007,Actual,,,
,,,,,,Total Total Nitrate,0.005,mg/L,WCMP,10/11/2007,Actual,,,
,,,,,,Total Total Sulfate,62,mg/L,WCMP,10/11/2007,Actual,,,
,,,,,,Total Total Alkalinity,217,mg CaCO3/L,WCMP,10/11/2007,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.006,mg/L,WCMP,10/11/2007,Actual,,,
,,,,,,Total Total Phosphorus,0.048,mg/L,WCMP,10/11/2007,Actual,,,
,,,,,,Total Total Potassium,3.9,mg/L,WCMP,10/11/2007,Actual,,,
,,,,,,Total Total Suspended Solids,20,mg/L,WCMP,10/11/2007,Actual,,,
,,,,,,Total Conductivity (Lab),638,umhos/cm      ,WCMP,10/10/2012,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),7.5,mg/L          ,WCMP,10/10/2012,Actual,,,
,,,,,,Total Hardness Ca2CO3,253,mg/L          ,WCMP,10/10/2012,Actual,,,
,,,,,,Total Temperature of Water,12.2,° C           ,WCMP,10/10/2012,Actual,,,
,,,,,,Total Total Organic Carbon,3.7,mg/L          ,WCMP,10/10/2012,Actual,,,
,,,,,,Total Total Potassium,3.7,mg/L          ,WCMP,10/10/2012,Actual,,,
,,,,,,Total pH (Lab),8.21,pH            ,WCMP,10/10/2012,Actual,,,
,,,,,,Total Total Dissolved Solids,410,mg/L          ,WCMP,10/10/2012,Actual,,,
,,,,,,Total Total Magnesium,25,mg/L          ,WCMP,10/10/2012,Actual,,,
,,,,,,Total Total Nitrite,0.005,mg N/L        ,WCMP,10/10/2012,Actual,,,
,,,,,,Total Total Suspended Solids,10,mg/L          ,WCMP,10/10/2012,Actual,,,
,,,,,,Total Chloride                                ,59,mg/L          ,WCMP,10/10/2012,Actual,,,
,,,,,,Total Total Calcium,60,mg/L          ,WCMP,10/10/2012,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.37,mg N/L        ,WCMP,10/10/2012,Actual,,,
,,,,,,Total Total Nitrate,0.061,mg N/L        ,WCMP,10/10/2012,Actual,,,
,,,,,,Total Total Phosphorus                        ,0.024,mg P/L        ,WCMP,10/10/2012,Actual,,,
,,,,,,Total Total Sodium,36,mg/L          ,WCMP,10/10/2012,Actual,,,
,,,,,,Total Total Sulfate,45,mg/L          ,WCMP,10/10/2012,Actual,,,
,,,,,,Total Conductivity (Field),614,umhos/cm      ,WCMP,10/10/2012,Actual,,,
,,,,,,Total Nitrate + Nitrite                       ,0.066,mg N/L        ,WCMP,10/10/2012,Actual,,,
,,,,,,Total pH (Field),8.2,pH            ,WCMP,10/10/2012,Actual,,,
,,,,,,Total Total Alkalinity,190,mg/L          ,WCMP,10/10/2012,Actual,,,
,,,,,,Total Total Ammonia,0.017,mg N/L        ,WCMP,10/10/2012,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.007,mg P/L        ,WCMP,10/10/2012,Actual,,,
,,,,,,Total Turbidity,2.19,NTU           ,WCMP,10/10/2012,Actual,,,
