Description,Type,Water Depth,Latitude,Longitude,USGS HUC Code,Characteristic,Result Value,Units,Project Name,Sample Date,Value Type
,,,,,,Total Pcb-41/64/71,0.218653762,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-46,0.028153835,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-49,0.151846095,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-51,0.033115372,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-70/76,0.152653787,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-85,0.073730741,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-97,0.083076891,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Phosphorus,0.183,mg/l,WCTMP,9/22/1998,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.116,mg/l,WCTMP,9/22/1998
,,,,,,Total Polychlorinated biphenyls (PCBs),10.69943268,ug/l,WCTMP,9/22/1998,Actual
,,,,,,Total Zinc,12.366,ug/l,WCTMP,9/22/1998,Actual
,,,,,,Total Cadmium,0.081,ug/l,WCTMP,9/22/1998,Actual
,,,,,,Total Chlordane,0.972,ug/l,WCTMP,9/22/1998,Actual
,,,,,,Total Lead,2.574,ug/l,WCTMP,9/22/1998,Actual
,,,,,,Total Nickel,6.763,ug/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-170/190,0.175152941,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-174,0.150023529,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-178,0.044988235,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-180,0.354447059,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-207,0.0032,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-37/42,0.144230714,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-45,0.044769214,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-52,0.552345941,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-53,0.064846129,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-56+60,0.13730764,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-6,0.053884595,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-66,0.266999897,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-89,0.01615384,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Pcb-99,0.119884569,ng/l,WCTMP,9/22/1998,Actual
,,,,,,Total Specific conductivity,770,umho/cm,WCTMP,9/22/1998,Actual
,,,,,,Total Total Organic Carbon (TOC),7.2,mg/l,WCTMP,9/22/1998,Actual
,,,,,,Total Conductivity (Lab),916,umhos/cm,WCMP,9/2/2009,Actual
,,,,,,Total Dissolved Oxygen (Field),8.1,mg/L,WCMP,9/2/2009,Actual
,,,,,,Total pH (Field),8,pH,WCMP,9/2/2009,Actual
,,,,,,Total Total Nitrate,1.68,mg/L,WCMP,9/2/2009,Actual
,,,,,,Total Total Potassium,4.5,mg/L,WCMP,9/2/2009,Actual
,,,,,,Total Total Sodium,80.8,mg/L,WCMP,9/2/2009,Actual
,,,,,,Total Total Suspended Solids,16,mg/L,WCMP,9/2/2009,Actual
,,,,,,Total Conductivity (Field),903,umhos/cm,WCMP,9/2/2009,Actual
,,,,,,Total Total Alkalinity,201,mg CaCO3/L,WCMP,9/2/2009,Actual
,,,,,,Total Total Nitrite,0.021,mg/L,WCMP,9/2/2009,Actual
,,,,,,Total Total Phosphorus,0.146,mg/L,WCMP,9/2/2009,Actual
,,,,,,Total Total Sulfate,35,mg/L,WCMP,9/2/2009,Actual
,,,,,,Total Turbidity,13,NTU,WCMP,9/2/2009,Actual
,,,,,,Total Hardness Ca2CO3,261,mg/L,WCMP,9/2/2009,Actual
,,,,,,Total pH (Lab),8.2,pH,WCMP,9/2/2009,Actual
,,,,,,Total Total Ammonia,0.059,mg/L,WCMP,9/2/2009,Actual
,,,,,,Total Total Organic Carbon,5.8,mg/L,WCMP,9/2/2009,Actual
,,,,,,Total Total Ortho Phosphate,0.091,mg/L,WCMP,9/2/2009,Actual
,,,,,,Total Temperature of Water,18.8,C,WCMP,9/2/2009,Actual
,,,,,,Total Total Calcium,69.3,mg/L,WCMP,9/2/2009,Actual
,,,,,,Total Total Dissolved Solids,600,mg/L,WCMP,9/2/2009,Actual
,,,,,,Total Total Kjeldahl Nitrogen,0.8,mg/L,WCMP,9/2/2009,Actual
,,,,,,Total Total Magnesium,21.4,mg/L,WCMP,9/2/2009,Actual
,,,,,,Total Total Magnesium,21.8,mg/L,WCMP,9/2/2008,Actual
,,,,,,Total Temperature of Water,22.3,C,WCMP,9/2/2008,Actual
,,,,,,Total Total Ammonia,0.11,mg/L,WCMP,9/2/2008,Actual
,,,,,,Total Total Kjeldahl Nitrogen,1.04,mg/L,WCMP,9/2/2008,Actual
,,,,,,Total Total Organic Carbon,6.1,mg/L,WCMP,9/2/2008,Actual
,,,,,,Total Total Sodium,114,mg/L,WCMP,9/2/2008,Actual
,,,,,,Total Turbidity,11,NTU,WCMP,9/2/2008,Actual
,,,,,,Total Dissolved Oxygen (Field),7.8,mg/L,WCMP,9/2/2008,Actual
,,,,,,Total Hardness Ca2CO3,280,mg/L,WCMP,9/2/2008,Actual
,,,,,,Total pH (Field),7.7,pH,WCMP,9/2/2008,Actual
,,,,,,Total pH (Lab),8.03,pH,WCMP,9/2/2008,Actual
,,,,,,Total Total Calcium,76.3,mg/L,WCMP,9/2/2008,Actual
,,,,,,Total Total Dissolved Solids,740,mg/L,WCMP,9/2/2008,Actual
,,,,,,Total Total Ortho Phosphate,0.085,mg/L,WCMP,9/2/2008,Actual
,,,,,,Total Total Phosphorus,0.132,mg/L,WCMP,9/2/2008,Actual
,,,,,,Total Total Suspended Solids,15,mg/L,WCMP,9/2/2008,Actual
,,,,,,Total Conductivity (Field),1119,umhos/cm,WCMP,9/2/2008,Actual
,,,,,,Total Conductivity (Lab),1142,umhos/cm,WCMP,9/2/2008,Actual
,,,,,,Total Total Alkalinity,182,mg CaCO3/L,WCMP,9/2/2008,Actual
,,,,,,Total Total Nitrate,3,mg/L,WCMP,9/2/2008,Actual
,,,,,,Total Total Nitrite,0.051,mg/L,WCMP,9/2/2008,Actual
,,,,,,Total Total Potassium,6.2,mg/L,WCMP,9/2/2008,Actual
,,,,,,Total Total Sulfate,42,mg/L,WCMP,9/2/2008,Actual
,,,,,,Total Conductivity (Field),505,umhos/cm,WCMP,9/17/2008,Actual
,,,,,,Total Total Organic Carbon,8.9,mg/L,WCMP,9/17/2008,Actual
,,,,,,Total Total Potassium,4.8,mg/L,WCMP,9/17/2008,Actual
,,,,,,Total Total Sodium,35.1,mg/L,WCMP,9/17/2008,Actual
,,,,,,Total Dissolved Oxygen (Field),7.2,mg/L,WCMP,9/17/2008,Actual
,,,,,,Total Hardness Ca2CO3,165,mg/L,WCMP,9/17/2008,Actual
,,,,,,Total Total Alkalinity,126,mg CaCO3/L,WCMP,9/17/2008,Actual
,,,,,,Total Total Calcium,44.9,mg/L,WCMP,9/17/2008,Actual
,,,,,,Total Total Kjeldahl Nitrogen,0.98,mg/L,WCMP,9/17/2008,Actual
,,,,,,Total Total Nitrate,0.78,mg/L,WCMP,9/17/2008,Actual
,,,,,,Total Total Nitrite,0.019,mg/L,WCMP,9/17/2008,Actual
,,,,,,Total Total Ortho Phosphate,0.062,mg/L,WCMP,9/17/2008,Actual
,,,,,,Total Total Phosphorus,0.162,mg/L,WCMP,9/17/2008,Actual
,,,,,,Total Total Suspended Solids,38,mg/L,WCMP,9/17/2008,Actual
,,,,,,Total Conductivity (Lab),532,umhos/cm,WCMP,9/17/2008,Actual
,,,,,,Total Total Ammonia,0.052,mg/L,WCMP,9/17/2008,Actual
,,,,,,Total Total Sulfate,18,mg/L,WCMP,9/17/2008,Actual
,,,,,,Total pH (Field),7.3,pH,WCMP,9/17/2008,Actual
,,,,,,Total pH (Lab),7.73,pH,WCMP,9/17/2008,Actual
,,,,,,Total Temperature of Water,17.2,C,WCMP,9/17/2008,Actual
,,,,,,Total Total Dissolved Solids,350,mg/L,WCMP,9/17/2008,Actual
,,,,,,Total Total Magnesium,12.8,mg/L,WCMP,9/17/2008,Actual
,,,,,,Total Turbidity,36,NTU,WCMP,9/17/2008,Actual
,,,,,,Dissolved Dissolved Solids,550,mg/l,WCTMP,9/17/2002,Calculated
,,,,,,Total Chloride,137,mg/l,WCTMP,9/17/2002,Actual
,,,,,,Total Hardness, carbonate,244,mg/l,WCTMP,9/17/2002
,,,,,,Total Lead,1.13,ug/l,WCTMP,9/17/2002,Actual
,,,,,,Total Nitrogen, Kjeldahl,1.14,mg/l,WCTMP,9/17/2002
,,,,,,Total Pcb-101,0.128765,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-137/176,0.004010171,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-141,0.046360921,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-15/17,0.050090125,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-18,0.0554385,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-180,0.156206826,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-183,0.046124395,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-194,0.04010237,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-198,0.001827033,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-199,0.005136666,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-24/27,0.0083177,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-26,0.0029371,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-3,0,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-49,0.03625,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-56+60,0.045894,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-70/76,0.06125,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-85,0.030019125,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-89,0.01305575,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Sodium,80.5,mg/l,WCTMP,9/17/2002,Actual
,,,,,,Total Specific conductivity,852,umho/cm,WCTMP,9/17/2002,Actual
,,,,,,Total Turbidity,12,mg/l,WCTMP,9/17/2002,Actual
,,,,,,Total Zinc,9.97,ug/l,WCTMP,9/17/2002,Actual
,,,,,,Total Cadmium,0.034,ug/l,WCTMP,9/17/2002,Actual
,,,,,,Total Chlordane,0,ug/l,WCTMP,9/17/2002,Actual
,,,,,,Total DDT,0,ug/l,WCTMP,9/17/2002,Actual
,,,,,,Total Mercury,1.57,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.14,mg/l,WCTMP,9/17/2002
,,,,,,Total Pcb-118,0.067864588,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-123/149,0.150026195,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-135/144,0.05697852,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-136,0.02,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-138/163,0.277046339,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-158,0.016578946,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-167,0.013701393,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-172,0.021446414,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-177,0.056785541,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-178,0.025606292,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-182/187,0.072535871,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-25,0.001505088,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-41/64/71,0.074144625,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-6,0,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-63,0.003216438,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-74,0.02430075,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-77/110,0.20877375,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-82,0.017756935,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-84/92,0.12953375,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-91,0.038133625,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-99,0.045039,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.148,mg/l,WCTMP,9/17/2002
,,,,,,Total Potassium,7.3,mg/l,WCTMP,9/17/2002,Actual
,,,,,,Total Sulfate (SO4) as SO4,33,mg/l,WCTMP,9/17/2002,Actual
,,,,,,Total Total Organic Carbon (TOC),7.8,mg/l,WCTMP,9/17/2002,Actual
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,156,mg/l
,,,,,,Total Chromium,0.916,ug/l,WCTMP,9/17/2002,Actual
,,,,,,Total Copper,3.51,ug/l,WCTMP,9/17/2002,Actual
,,,,,,Total Magnesium,20.2,mg/l,WCTMP,9/17/2002,Actual
,,,,,,Total Mercury,1.8,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,3,mg/l,WCTMP,9/17/2002
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.044,mg/l,WCTMP,9/17/2002
,,,,,,Total Pcb-146,0.054818836,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-16/32,0.07444825,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-170/190,0.084978038,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-19,0.00527785,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-193,0.012997341,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-195/208,0.019063798,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-201,0.070152703,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-206,0.017835077,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-4/10,0,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-40,0.02629225,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-45,0.01616625,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-46,0.00735955,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-52,0.57830875,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-66,0.055946,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-83,0.01033175,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-87,0.05703275,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-97,0.033837875,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total pH,7.95,,WCTMP,9/17/2002,Actual
,,,,,,Total Polychlorinated biphenyls (PCBs),4.231157483,ug/l,WCTMP,9/17/2002,Actual
,,,,,, Temperature, water,19.6,deg C,WCTMP,9/17/2002
,,,,,,Total Calcium,64.2,mg/l,WCTMP,9/17/2002,Actual
,,,,,,Total Nickel,5.61,ug/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-128,0.038741791,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-132/153,0.251761237,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-151,0.059364452,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-171/202,0.02125034,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-174,0.082601612,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-185,0.008567071,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-196/203,0.08059346,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-207,0.001572447,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-22,0.046013875,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-28/31,0.13128125,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-33,0.02464425,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-44,0.0784355,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-47/48,0.03681475,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-5/8,0,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-51,0.009091225,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-53,0.005859913,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-7/9,0,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Pcb-95,0.1769575,ng/l,WCTMP,9/17/2002,Actual
,,,,,,Total Phosphorus,0.21,mg/l,WCTMP,9/17/2002,Actual
,,,,,,Total Total Suspended Solids (TSS),9,mg/l,WCTMP,9/17/2002,Actual
,,,,,,Dissolved Dissolved Solids,503,mg/l,WCTMP,9/17/1998,Calculated
,,,,,,Total Chromium,3.113,ug/l,WCTMP,9/17/1998,Actual
,,,,,,Total Nitrogen, Kjeldahl,0.97,mg/l,WCTMP,9/17/1998
,,,,,,Total Pcb-118,0.153694118,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-123/149,0.241129412,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-128,0.073223529,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-135/144,0.086964706,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-137/176,0.007623529,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-138/163,0.518964706,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-196/203,0.117364706,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-4/10,0.204214359,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-5/8,0.415500148,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-51,0.031500011,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-7/9,0.02442858,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-85,0.060107164,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.071,mg/l,WCTMP,9/17/1998
,,,,,,Total Zinc,9.839,ug/l,WCTMP,9/17/1998,Actual
,,,,,, Temperature, water,21.4,deg C,WCTMP,9/17/1998
,,,,,,Total Calcium,53.5,mg/l,WCTMP,9/17/1998,Actual
,,,,,,Total Lead,1.868,ug/l,WCTMP,9/17/1998,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,1.49,mg/l,WCTMP,9/17/1998
,,,,,,Total Pcb-101,0.266357238,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-132/153,0.441882353,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-136,0.0407143,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-146,0.072470588,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-158,0.062305882,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-195/208,0.025694118,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-201,0.100894118,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-206,0.024,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-28/31,0.4403573,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-37/42,0.136821477,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-47/48,0.101464322,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-53,0.059678593,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-6,0.047571446,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-74,0.062678594,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-77/110,0.436071584,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-82,0.031247059,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-83,0.028714296,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-87,0.112607183,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-89,0.014250005,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-97,0.06921431,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Phosphorus,0.133,mg/l,WCTMP,9/17/1998,Actual
,,,,,,Total Sulfate (SO4) as SO4,29,mg/l,WCTMP,9/17/1998,Actual
,,,,,,Total Total Suspended Solids (TSS),15,mg/l,WCTMP,9/17/1998,Actual
,,,,,,Total Chlordane,0.604,ug/l,WCTMP,9/17/1998,Actual
,,,,,,Total DDT,1.268,ug/l,WCTMP,9/17/1998,Actual
,,,,,,Total Hardness, carbonate,220,mg/l,WCTMP,9/17/1998
,,,,,,Total Magnesium,20.5,mg/l,WCTMP,9/17/1998,Actual
,,,,,,Total Mercury,3.387,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.085,mg/l,WCTMP,9/17/1998
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.053,mg/l,WCTMP,9/17/1998
,,,,,,Total Pcb-15/17,0.316071542,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-16/32,0.294428677,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-167,0.021835294,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-170/190,0.138258824,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-171/202,0.029835294,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-174,0.124517647,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-177,0.082917647,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-18,0.121178615,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-180,0.287811765,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-183,0.070870588,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-193,0.021741177,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-198,0,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-207,0,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-3,0,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-41/64/71,0.203357216,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-44,0.205071502,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-46,0.028285724,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-49,0.143250051,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-56+60,0.117107185,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-63,0.011678576,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-66,0.200892929,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-70/76,0.135000048,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-95,0.342000122,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-99,0.100928608,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Polychlorinated biphenyls (PCBs),9.086994546,ug/l,WCTMP,9/17/1998,Actual
,,,,,,Total Specific conductivity,774,umho/cm,WCTMP,9/17/1998,Actual
,,,,,,Total Total Organic Carbon (TOC),8.2,mg/l,WCTMP,9/17/1998,Actual
,,,,,,Total Cadmium,0.064,ug/l,WCTMP,9/17/1998,Actual
,,,,,,Total Chloride,113,mg/l,WCTMP,9/17/1998,Actual
,,,,,,Total Copper,2.912,ug/l,WCTMP,9/17/1998,Actual
,,,,,,Total Nickel,5.759,ug/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-141,0.084894118,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-151,0.092235294,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-172,0.033788235,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-178,0.038023529,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-182/187,0.120658824,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-185,0.012988235,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-19,0.038035728,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-194,0.060705882,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-199,0.008094118,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-22,0.101142893,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-24/27,0.026571438,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-33,0.091928604,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-40,0.049071446,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-45,0.04253573,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-52,0.453000162,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-84/92,0.24792866,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total Pcb-91,0.078642885,ng/l,WCTMP,9/17/1998,Actual
,,,,,,Total pH,8.03,,WCTMP,9/17/1998,Actual
,,,,,,Total Conductivity (Field),539,umhos/cm,WCMP,9/14/2006,Actual
,,,,,,Total Hardness Ca2CO3,161,mg/L,WCMP,9/14/2006,Actual
,,,,,,Total Temperature of Water,18.5,C,WCMP,9/14/2006,Actual
,,,,,,Total Total Kjeldahl Nitrogen,0.97,mg/L,WCMP,9/14/2006,Actual
,,,,,,Total Total Magnesium,11.2,mg/L,WCMP,9/14/2006,Actual
,,,,,,Total Total Nitrite,0.025,mg/L,WCMP,9/14/2006,Actual
,,,,,,Total Turbidity,46,NTU,WCMP,9/14/2006,Actual
,,,,,,Total pH (Field),7.8,pH,WCMP,9/14/2006,Actual
,,,,,,Total Total Ammonia,0.083,mg/L,WCMP,9/14/2006,Actual
,,,,,,Total Total Dissolved Solids,350,mg/L,WCMP,9/14/2006,Actual
,,,,,,Total Total Ortho Phosphate,0.049,mg/L,WCMP,9/14/2006,Actual
,,,,,,Total Total Phosphorus,0.192,mg/L,WCMP,9/14/2006,Actual
,,,,,,Total Total Potassium,4,mg/L,WCMP,9/14/2006,Actual
,,,,,,Total Total Sodium,46.7,mg/L,WCMP,9/14/2006,Actual
,,,,,,Total Total Sulfate,20,mg/L,WCMP,9/14/2006,Actual
,,,,,,Total Total Suspended Solids,59,mg/L,WCMP,9/14/2006,Actual
,,,,,,Total Dissolved Oxygen (Field),6.7,mg/L,WCMP,9/14/2006,Actual
,,,,,,Total pH (Lab),7.79,pH,WCMP,9/14/2006,Actual
,,,,,,Total Total Calcium,45.9,mg/L,WCMP,9/14/2006,Actual
,,,,,,Total Total Nitrate,0.89,mg/L,WCMP,9/14/2006,Actual
,,,,,,Total Total Organic Carbon,6.8,mg/L,WCMP,9/14/2006,Actual
