Description,Type,Water Depth,Latitude,Longitude,USGS HUC Code,Characteristic,Result Value,Units,Project Name,Sample Date,Value Type
,,,,,,Total Pcb-85,0.303859,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-99,0.548211,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Potassium,8.6,mg/l,WCTMP,7/27/2000,Actual
,,,,,,Total Total Suspended Solids (TSS),22,mg/l,WCTMP,7/27/2000,Actual
,,,,,, Temperature, water,24.5,deg C,WCTMP,7/27/2000
,,,,,,Dissolved Dissolved Solids,328,mg/l,WCTMP,7/27/2000,Calculated
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,90,mg/l
,,,,,,Total Chloride,71,mg/l,WCTMP,7/27/2000,Actual
,,,,,,Total Copper,3.02,ug/l,WCTMP,7/27/2000,Actual
,,,,,,Total Lead,2.12,ug/l,WCTMP,7/27/2000,Actual
,,,,,,Total m & p Xylene mix,*Non-detect,ug/l,WCTMP,7/27/2000,Actual
,,,,,,Total Mercury,4.55,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Nitrogen, Kjeldahl,0.48,mg/l,WCTMP,7/27/2000
,,,,,,Total Pcb-132/153,3.345142,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-138/163,3.255928,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-151,0.699271,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-167,0.163912,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-170/190,1.460424,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-174,1.119536,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-177,0.736133,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-183,0.476658,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-194,0.588981,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-195/208,0.251595,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-199,0.078142,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-22,1.107143,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-24/27,0.176319,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-33,1.080258,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-46,0.126876,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-5/8,2.136511,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-52,3.137203,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-63,0.132273,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-66,2.960541,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-83,0.228034,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-89,0.126519,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total Pcb-91,0.396488,ng/l,WCTMP,7/27/2000,Actual
,,,,,,Total pH,8.03,,WCTMP,7/27/2000,Actual
,,,,,,Total Phosphorus,0.073,mg/l,WCTMP,7/27/2000,Actual
,,,,,, Temperature, water,29,deg C,WCTMP,7/25/2005
,,,,,,Total Alkalinity, Bicarbonate as CaCO3,90,mg/l,WCTMP,7/25/2005
,,,,,,Total Alkalinity, Bicarbonate as CaCO3,93,mg/l,WCTMP,7/25/2005
,,,,,,Total Cadmium,0.036,ug/l,WCTMP,7/25/2005,Actual
,,,,,,Total Calcium,36.8,mg/l,WCTMP,7/25/2005,Actual
,,,,,,Total Hardness, carbonate,132,mg/l,WCTMP,7/25/2005
,,,,,,Total Magnesium,*Non-detect,mg/l,WCTMP,7/25/2005,Actual
,,,,,,Total Magnesium,10,mg/l,WCTMP,7/25/2005,Actual
,,,,,,Total Mercury in Water,2.81,ug/l,WCTMP,7/25/2005,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.144,mg/l,WCTMP,7/25/2005
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.148,mg/l,WCTMP,7/25/2005
,,,,,,Total Nitrogen, Kjeldahl,*Non-detect,mg/l,WCTMP,7/25/2005
,,,,,,Total Nitrogen, Kjeldahl,0.55,mg/l,WCTMP,7/25/2005
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.62,mg/l,WCTMP,7/25/2005
,,,,,,Total pH,7.8,,WCTMP,7/25/2005,Actual
,,,,,,Total pH,7.88,,WCTMP,7/25/2005,Actual
,,,,,,Total Phosphorus,0.003,mg/l,WCTMP,7/25/2005,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.001,mg/l,WCTMP,7/25/2005
,,,,,,Total Phosphorus, orthophosphate as P,0.03,mg/l,WCTMP,7/25/2005
,,,,,,Total Potassium,7.7,mg/l,WCTMP,7/25/2005,Actual
,,,,,,Total Specific conductance,1,umho/cm,WCTMP,7/25/2005,Actual
,,,,,,Total Total Suspended Solids (TSS),*Non-detect,mg/l,WCTMP,7/25/2005,Actual
,,,,,,Total Turbidity,5,mg/l,WCTMP,7/25/2005,Actual
,,,,,,Dissolved Dissolved Solids,320,mg/l,WCTMP,7/25/2005,Calculated
,,,,,,Total Chromium,0.744,ug/l,WCTMP,7/25/2005,Actual
,,,,,,Total Lead,1.84,ug/l,WCTMP,7/25/2005,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.61,mg/l,WCTMP,7/25/2005
,,,,,,Total Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N,0.002,mg/l,WCTMP,7/25/2005
,,,,,,Total Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N,0.64,mg/l,WCTMP,7/25/2005
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.024,mg/l,WCTMP,7/25/2005
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.025,mg/l,WCTMP,7/25/2005
,,,,,,Total Phosphorus, orthophosphate as P,0.027,mg/l,WCTMP,7/25/2005
,,,,,,Total Total Organic Carbon (TOC),4.2,mg/l,WCTMP,7/25/2005,Actual
,,,,,,Total Total Suspended Solids (TSS),10,mg/l,WCTMP,7/25/2005,Actual
,,,,,,Total Total Suspended Solids (TSS),13,mg/l,WCTMP,7/25/2005,Actual
,,,,,,Dissolved Dissolved Solids,*Non-detect,mg/l,WCTMP,7/25/2005,Calculated
,,,,,,Dissolved Dissolved Solids,330,mg/l,WCTMP,7/25/2005,Calculated
,,,,,,Total Alkalinity, Bicarbonate as CaCO3,*Non-detect,mg/l,WCTMP,7/25/2005
,,,,,,Total Calcium,*Non-detect,mg/l,WCTMP,7/25/2005,Actual
,,,,,,Total Chloride,*Non-detect,mg/l,WCTMP,7/25/2005,Actual
,,,,,,Total Copper,2.55,ug/l,WCTMP,7/25/2005,Actual
,,,,,,Total Nickel,2.33,ug/l,WCTMP,7/25/2005,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,*Non-detect,mg/l,WCTMP,7/25/2005
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.001,mg/l,WCTMP,7/25/2005
,,,,,,Total Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N,0.63,mg/l,WCTMP,7/25/2005
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.001,mg/l,WCTMP,7/25/2005
,,,,,,Total Phosphorus,0.071,mg/l,WCTMP,7/25/2005,Actual
,,,,,,Total Phosphorus,0.072,mg/l,WCTMP,7/25/2005,Actual
,,,,,,Total Sulfur, sulfate (SO4) as SO4,*Non-detect,mg/l,WCTMP,7/25/2005
,,,,,,Total Total Organic Carbon (TOC),*Non-detect,mg/l,WCTMP,7/25/2005,Actual
,,,,,,Total Turbidity,*Non-detect,mg/l,WCTMP,7/25/2005,Actual
,,,,,,Total Alkalinity, Carbonate as CaCO3,*Non-detect,mg/l,WCTMP,7/25/2005
,,,,,,Total Alkalinity, Total (total hydroxide+carbonate+bicarbonate),*Non-detect,mg/l,WCTMP,7/25/2005
,,,,,,Total Alkalinity, Total (total hydroxide+carbonate+bicarbonate),90,mg/l,WCTMP,7/25/2005
,,,,,,Total Alkalinity, Total (total hydroxide+carbonate+bicarbonate),93,mg/l,WCTMP,7/25/2005
,,,,,,Total Calcium,36.3,mg/l,WCTMP,7/25/2005,Actual
,,,,,,Total Chloride,78,mg/l,WCTMP,7/25/2005,Actual
,,,,,,Total Chloride,79,mg/l,WCTMP,7/25/2005,Actual
,,,,,,Total Hardness, carbonate,*Non-detect,mg/l,WCTMP,7/25/2005
,,,,,,Total Hardness, carbonate,134,mg/l,WCTMP,7/25/2005
,,,,,,Total Magnesium,10.1,mg/l,WCTMP,7/25/2005,Actual
,,,,,,Total pH,Interference,,WCTMP,7/25/2005,Actual
,,,,,,Total Potassium,*Non-detect,mg/l,WCTMP,7/25/2005,Actual
,,,,,,Total Potassium,7.9,mg/l,WCTMP,7/25/2005,Actual
,,,,,,Total Sodium,*Non-detect,mg/l,WCTMP,7/25/2005,Actual
,,,,,,Total Sodium,42.6,mg/l,WCTMP,7/25/2005,Actual
,,,,,,Total Specific conductance,495,umho/cm,WCTMP,7/25/2005,Actual
,,,,,,Total Specific conductance,501,umho/cm,WCTMP,7/25/2005,Actual
,,,,,,Total Sulfur, sulfate (SO4) as SO4,23,mg/l,WCTMP,7/25/2005
,,,,,,Total Total Organic Carbon (TOC),4,mg/l,WCTMP,7/25/2005,Actual
,,,,,,Total Turbidity,6,mg/l,WCTMP,7/25/2005,Actual
,,,,,,Total Zinc,8.6,ug/l,WCTMP,7/25/2005,Actual
,,,,,,Total Copper,3.178,ug/l,WCTMP,7/22/1998,Actual
,,,,,,Total Hardness, carbonate,132,mg/l,WCTMP,7/22/1998
,,,,,,Total Mercury,5.852,ng/l,WCTMP,7/22/1998,Actual
,,,,,,Total Phosphorus,0.42,mg/l,WCTMP,7/22/1998,Actual
,,,,,,Total Cadmium,0.057,ug/l,WCTMP,7/22/1998,Actual
,,,,,,Total Chromium,2.412,ug/l,WCTMP,7/22/1998,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.39,mg/l,WCTMP,7/22/1998
,,,,,,Total Specific conductivity,433,umho/cm,WCTMP,7/22/1998,Actual
,,,,,,Total Sulfate (SO4) as SO4,19,mg/l,WCTMP,7/22/1998,Actual
,,,,,,Total Total Suspended Solids (TSS),68,mg/l,WCTMP,7/22/1998,Actual
,,,,,,Dissolved Dissolved Solids,281,mg/l,WCTMP,7/22/1998,Calculated
,,,,,,Total Chloride,51,mg/l,WCTMP,7/22/1998,Actual
,,,,,,Total Total Organic Carbon (TOC),5.6,mg/l,WCTMP,7/22/1998,Actual
,,,,,,Total Zinc,12.2,ug/l,WCTMP,7/22/1998,Actual
,,,,,, Temperature, water,27.8,deg C,WCTMP,7/22/1998
,,,,,,Total Calcium,37.3,mg/l,WCTMP,7/22/1998,Actual
,,,,,,Total Lead,1.737,ug/l,WCTMP,7/22/1998,Actual
,,,,,,Total Magnesium,9.5,mg/l,WCTMP,7/22/1998,Actual
,,,,,,Total Nickel,10.108,ug/l,WCTMP,7/22/1998,Actual
,,,,,,Total Nitrogen, Kjeldahl,1.76,mg/l,WCTMP,7/22/1998
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.29,mg/l,WCTMP,7/22/1998
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.047,mg/l,WCTMP,7/22/1998
,,,,,,Total pH,7.25,,WCTMP,7/22/1998,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.023,mg/l,WCTMP,7/22/1998
,,,,,,Total Chloride                                ,80,mg/L          ,WCMP,7/19/2010,Actual
,,,,,,Total Conductivity (Field),524,umhos/cm      ,WCMP,7/19/2010,Actual
,,,,,,Total Conductivity (Lab),509,umhos/cm      ,WCMP,7/19/2010,Actual
,,,,,,Total Dissolved Oxygen (Field),4.5,mg/L          ,WCMP,7/19/2010,Actual
,,,,,,Total Total Dissolved Solids,330,mg/L          ,WCMP,7/19/2010,Actual
,,,,,,Total Total Nitrate,0.51,mg/L,WCMP,7/19/2010,Actual
,,,,,,Total Total Nitrite,0.027,mg/L,WCMP,7/19/2010,Actual
,,,,,,Total Total Potassium,8.9,mg/L          ,WCMP,7/19/2010,Actual
,,,,,,Total Total Sulfate,25,mg/L          ,WCMP,7/19/2010,Actual
,,,,,,Total Hardness Ca2CO3,137,mg/L          ,WCMP,7/19/2010,Actual
,,,,,,Total Total Alkalinity,86,mg CaCO3/L,WCMP,7/19/2010,Actual
,,,,,,Total Total Ammonia,0.2,mg/L,WCMP,7/19/2010,Actual
,,,,,,Total Total Ortho Phosphate,0.04,mg/L,WCMP,7/19/2010,Actual
,,,,,,Total Total Suspended Solids,11,mg/L          ,WCMP,7/19/2010,Actual
,,,,,,Total pH (Lab),7.7,pH            ,WCMP,7/19/2010,Actual
,,,,,,Total Temperature of Water,28.4,° C           ,WCMP,7/19/2010,Actual
,,,,,,Total Total Magnesium,9.5,mg/L          ,WCMP,7/19/2010,Actual
,,,,,,Total Total Organic Carbon,3.5,mg/L          ,WCMP,7/19/2010,Actual
,,,,,,Total Total Phosphorus                        ,0.087,mg/L,WCMP,7/19/2010,Actual
,,,,,,Total Nitrate + Nitrite                       ,0.54,mg/L,WCMP,7/19/2010,Actual
,,,,,,Total pH (Field),7.7,pH            ,WCMP,7/19/2010,Actual
,,,,,,Total Total Calcium,39.2,mg/L          ,WCMP,7/19/2010,Actual
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.7,mg/L,WCMP,7/19/2010,Actual
,,,,,,Total Total Sodium,40.3,mg/L          ,WCMP,7/19/2010,Actual
,,,,,,Total Turbidity                               ,10,NTU           ,WCMP,7/19/2010,Actual
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,91,mg/l
,,,,,,Total Benzene,*Non-detect,ug/l,WCTMP,7/13/2004,Actual
,,,,,,Total Chromium,2.14,ug/l,WCTMP,7/13/2004,Actual
,,,,,,Total Magnesium,9.6,mg/l,WCTMP,7/13/2004,Actual
,,,,,,Total Mercury,7.39,ng/l,WCTMP,7/13/2004,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.49,mg/l,WCTMP,7/13/2004
,,,,,,Total Nitrogen, Kjeldahl,1.24,mg/l,WCTMP,7/13/2004
,,,,,,Total Phosphorus,0.149,mg/l,WCTMP,7/13/2004,Actual
,,,,,,Total Total Suspended Solids (TSS),22,mg/l,WCTMP,7/13/2004,Actual
,,,,,,Total Cadmium,0.148,ug/l,WCTMP,7/13/2004,Actual
,,,,,,Total Chloride,92,mg/l,WCTMP,7/13/2004,Actual
,,,,,,Total Lead,4.79,ug/l,WCTMP,7/13/2004,Actual
,,,,,,Total m & p Xylene mix,*Non-detect,ug/l,WCTMP,7/13/2004,Actual
,,,,,,Total Nickel,3.45,ug/l,WCTMP,7/13/2004,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.87,mg/l,WCTMP,7/13/2004
,,,,,,Total Turbidity,29,mg/l,WCTMP,7/13/2004,Actual
,,,,,,Total Zinc,28.1,ug/l,WCTMP,7/13/2004,Actual
,,,,,, Temperature, water,25.7,deg C,WCTMP,7/13/2004
,,,,,,Total Calcium,38.2,mg/l,WCTMP,7/13/2004,Actual
,,,,,,Total Ethyl benzene,*Non-detect,ug/l,WCTMP,7/13/2004,Actual
,,,,,,Total Potassium,3.2,mg/l,WCTMP,7/13/2004,Actual
,,,,,,Total Sodium,50.3,mg/l,WCTMP,7/13/2004,Actual
,,,,,,Total Specific conductivity,556,umho/cm,WCTMP,7/13/2004,Actual
,,,,,,Total Sulfate (SO4) as SO4,25,mg/l,WCTMP,7/13/2004,Actual
,,,,,,Dissolved Dissolved Solids,360,mg/l,WCTMP,7/13/2004,Calculated
,,,,,,Total Copper,4.97,ug/l,WCTMP,7/13/2004,Actual
,,,,,,Total Hardness, carbonate,135,mg/l,WCTMP,7/13/2004
,,,,,,Total Methyl tertiary butyl ether (MTBE),*Non-detect,ug/l,WCTMP,7/13/2004,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.037,mg/l,WCTMP,7/13/2004
,,,,,,Total o-Xylene,*Non-detect,ug/l,WCTMP,7/13/2004,Actual
,,,,,,Total pH,7.62,,WCTMP,7/13/2004,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.053,mg/l,WCTMP,7/13/2004
,,,,,,Total Toluene,*Non-detect,ug/l,WCTMP,7/13/2004,Actual
,,,,,,Total Total Organic Carbon (TOC),5.2,mg/l,WCTMP,7/13/2004,Actual
,,,,,,Dissolved Dissolved Solids,243,mg/l,WCTMP,7/13/1998,Calculated
,,,,,,Total Calcium,33.1,mg/l,WCTMP,7/13/1998,Actual
,,,,,,Total Copper,3.865,ug/l,WCTMP,7/13/1998,Actual
,,,,,,Total Hardness, carbonate,119,mg/l,WCTMP,7/13/1998
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.117,mg/l,WCTMP,7/13/1998
,,,,,,Total Phosphorus, orthophosphate as P,0.027,mg/l,WCTMP,7/13/1998
,,,,,, Temperature, water,26.5,deg C,WCTMP,7/13/1998
,,,,,,Total Chromium,2.913,ug/l,WCTMP,7/13/1998,Actual
,,,,,,Total Mercury,5.901,ng/l,WCTMP,7/13/1998,Actual
,,,,,,Total Nitrogen, Kjeldahl,0.46,mg/l,WCTMP,7/13/1998
,,,,,,Total Total Organic Carbon (TOC),3.8,mg/l,WCTMP,7/13/1998,Actual
,,,,,,Total Total Suspended Solids (TSS),20,mg/l,WCTMP,7/13/1998,Actual
,,,,,,Total Cadmium,0.069,ug/l,WCTMP,7/13/1998,Actual
,,,,,,Total Chloride,41,mg/l,WCTMP,7/13/1998,Actual
,,,,,,Total Lead,2.348,ug/l,WCTMP,7/13/1998,Actual
,,,,,,Total Nickel,4.131,ug/l,WCTMP,7/13/1998,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.023,mg/l,WCTMP,7/13/1998
,,,,,,Total Phosphorus,0.062,mg/l,WCTMP,7/13/1998,Actual
,,,,,,Total Specific conductivity,374,umho/cm,WCTMP,7/13/1998,Actual
,,,,,,Total Sulfate (SO4) as SO4,21,mg/l,WCTMP,7/13/1998,Actual
,,,,,,Total Magnesium,8.9,mg/l,WCTMP,7/13/1998,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.46,mg/l,WCTMP,7/13/1998
,,,,,,Total pH,7.57,,WCTMP,7/13/1998,Actual
,,,,,,Total Zinc,11.784,ug/l,WCTMP,7/13/1998,Actual
,,,,,,Total Chromium,1.39,ug/l,WCTMP,7/11/2005,Actual
,,,,,,Total Lead,2.38,ug/l,WCTMP,7/11/2005,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.023,mg/l,WCTMP,7/11/2005
,,,,,,Total Sulfur, sulfate (SO4) as SO4,22,mg/l,WCTMP,7/11/2005
,,,,,,Total Zinc,10.8,ug/l,WCTMP,7/11/2005,Actual
,,,,,, Temperature, water,27.4,deg C,WCTMP,7/11/2005
,,,,,,Dissolved Dissolved Solids,370,mg/l,WCTMP,7/11/2005,Calculated
,,,,,,Total Alkalinity, Bicarbonate as CaCO3,96,mg/l,WCTMP,7/11/2005
,,,,,,Total Cadmium,0.053,ug/l,WCTMP,7/11/2005,Actual
,,,,,,Total Chloride,91,mg/l,WCTMP,7/11/2005,Actual
,,,,,,Total Copper,3.1,ug/l,WCTMP,7/11/2005,Actual
,,,,,,Total Hardness, carbonate,144,mg/l,WCTMP,7/11/2005
,,,,,,Total Magnesium,10,mg/l,WCTMP,7/11/2005,Actual
,,,,,,Total Nickel,2.48,ug/l,WCTMP,7/11/2005,Actual
,,,,,,Total Specific conductance,567,umho/cm,WCTMP,7/11/2005,Actual
,,,,,,Total Total Organic Carbon (TOC),3,mg/l,WCTMP,7/11/2005,Actual
,,,,,,Total Turbidity,16,mg/l,WCTMP,7/11/2005,Actual
,,,,,,Total Alkalinity, Carbonate as CaCO3,*Non-detect,mg/l,WCTMP,7/11/2005
,,,,,,Total Alkalinity, Total (total hydroxide+carbonate+bicarbonate),96,mg/l,WCTMP,7/11/2005
,,,,,,Total Calcium,41,mg/l,WCTMP,7/11/2005,Actual
,,,,,,Total Mercury in Water,4.16,ug/l,WCTMP,7/11/2005,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.024,mg/l,WCTMP,7/11/2005
,,,,,,Total pH,7.71,,WCTMP,7/11/2005,Actual
,,,,,,Total Phosphorus,0.079,mg/l,WCTMP,7/11/2005,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.123,mg/l,WCTMP,7/11/2005
,,,,,,Total Nitrogen, Kjeldahl,0.6,mg/l,WCTMP,7/11/2005
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.66,mg/l,WCTMP,7/11/2005
,,,,,,Total Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N,0.68,mg/l,WCTMP,7/11/2005
,,,,,,Total Potassium,6.2,mg/l,WCTMP,7/11/2005,Actual
,,,,,,Total Sodium,48.2,mg/l,WCTMP,7/11/2005,Actual
,,,,,,Total Total Suspended Solids (TSS),16,mg/l,WCTMP,7/11/2005,Actual
,,,,,, Temperature, water,27.3,deg C,WCTMP,7/1/1998
,,,,,,Total Chloride,42,mg/l,WCTMP,7/1/1998,Actual
,,,,,,Total Hardness, carbonate,124,mg/l,WCTMP,7/1/1998
,,,,,,Total Lead,1.966,ug/l,WCTMP,7/1/1998,Actual
,,,,,,Total Nickel,4.66,ug/l,WCTMP,7/1/1998,Actual
,,,,,,Total Phosphorus,0.066,mg/l,WCTMP,7/1/1998,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.021,mg/l,WCTMP,7/1/1998
,,,,,,Total Sulfate (SO4) as SO4,17,mg/l,WCTMP,7/1/1998,Actual
,,,,,,Total Total Organic Carbon (TOC),4.5,mg/l,WCTMP,7/1/1998,Actual
,,,,,,Total Total Suspended Solids (TSS),17,mg/l,WCTMP,7/1/1998,Actual
,,,,,,Total Zinc,9.862,ug/l,WCTMP,7/1/1998,Actual
,,,,,,Total Calcium,34.2,mg/l,WCTMP,7/1/1998,Actual
,,,,,,Total Copper,3.222,ug/l,WCTMP,7/1/1998,Actual
,,,,,,Total Dissolved oxygen (DO),5.4,mg/l,WCTMP,7/1/1998,Actual
,,,,,,Total Magnesium,9.4,mg/l,WCTMP,7/1/1998,Actual
,,,,,,Total Mercury,10.176,ng/l,WCTMP,7/1/1998,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.191,mg/l,WCTMP,7/1/1998
,,,,,,Total Specific conductivity,381,umho/cm,WCTMP,7/1/1998,Actual
,,,,,,Total Cadmium,0.054,ug/l,WCTMP,7/1/1998,Actual
,,,,,,Total Chromium,2.854,ug/l,WCTMP,7/1/1998,Actual
,,,,,,Total pH,7.57,,WCTMP,7/1/1998,Actual
,,,,,,Dissolved Dissolved Solids,248,mg/l,WCTMP,7/1/1998,Calculated
,,,,,,Total Nitrogen, Kjeldahl,0.67,mg/l,WCTMP,7/1/1998
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.46,mg/l,WCTMP,7/1/1998
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.026,mg/l,WCTMP,7/1/1998
,,,,,,Total Conductivity (Field),461,umhos/cm      ,WCMP,6/7/2010,Actual
,,,,,,Total Dissolved Oxygen (Field),5.2,mg/L          ,WCMP,6/7/2010,Actual
,,,,,,Total pH (Lab),7.69,pH            ,WCMP,6/7/2010,Actual
,,,,,,Total Total Calcium,37.3,mg/L          ,WCMP,6/7/2010,Actual
,,,,,,Total Total Kjeldahl Nitrogen                 ,1.35,mg/L,WCMP,6/7/2010,Actual
,,,,,,Total Total Potassium,4.7,mg/L          ,WCMP,6/7/2010,Actual
,,,,,,Total Total Sulfate,17,mg/L          ,WCMP,6/7/2010,Actual
,,,,,,Total Turbidity                               ,76,NTU           ,WCMP,6/7/2010,Actual
,,,,,,Total Chloride                                ,65,mg/L          ,WCMP,6/7/2010,Actual
,,,,,,Total Hardness Ca2CO3,125,mg/L          ,WCMP,6/7/2010,Actual
,,,,,,Total Nitrate + Nitrite                       ,0.62,mg/L,WCMP,6/7/2010,Actual
,,,,,,Total Total Dissolved Solids,290,mg/L          ,WCMP,6/7/2010,Actual
,,,,,,Total Total Magnesium,7.8,mg/L          ,WCMP,6/7/2010,Actual
,,,,,,Total Total Nitrate,0.57,mg/L,WCMP,6/7/2010,Actual
,,,,,,Total Total Organic Carbon,7,mg/L          ,WCMP,6/7/2010,Actual
,,,,,,Total Total Suspended Solids,64,mg/L          ,WCMP,6/7/2010,Actual
,,,,,,Total Conductivity (Lab),450,umhos/cm      ,WCMP,6/7/2010,Actual
,,,,,,Total Total Alkalinity,94,mg CaCO3/L,WCMP,6/7/2010,Actual
,,,,,,Total Total Ammonia,0.28,mg/L,WCMP,6/7/2010,Actual
,,,,,,Total Total Nitrite,0.047,mg/L,WCMP,6/7/2010,Actual
,,,,,,Total Total Ortho Phosphate,0.082,mg/L,WCMP,6/7/2010,Actual
,,,,,,Total Total Sodium,38.4,mg/L          ,WCMP,6/7/2010,Actual
,,,,,,Total pH (Field),7.5,pH            ,WCMP,6/7/2010,Actual
,,,,,,Total Temperature of Water,18.3,° C           ,WCMP,6/7/2010,Actual
,,,,,,Total Total Phosphorus                        ,0.22,mg/L,WCMP,6/7/2010,Actual
,,,,,,Total Total Magnesium,12.15,mg/L,WCMP,6/4/2013,Actual
,,,,,,Total Total Nitrite,0.058524,mg/L,WCMP,6/4/2013,Actual
,,,,,,Total Total Phosphorus,0.0788,mg/L,WCMP,6/4/2013,Actual
,,,,,,Total Total Sulfate,33.92287,mg/L,WCMP,6/4/2013,Actual
,,,,,,Total Turbidity,12.1,NTU,WCMP,6/4/2013,Actual
,,,,,,Total Conductivity (Field),734,umhos/cm,WCMP,6/4/2013,Actual
,,,,,,Total Conductivity (Lab),794,umhos/cm,WCMP,6/4/2013,Actual
,,,,,,Total Dissolved Oxygen (Field),4.7,mg/L,WCMP,6/4/2013,Actual
,,,,,,Total Nitrate + Nitrite,0.836381,mg/L,WCMP,6/4/2013,Actual
,,,,,,Total pH (Field),8.2,pH,WCMP,6/4/2013,Actual
,,,,,,Total Total Dissolved Solids,384,mg/L,WCMP,6/4/2013,Actual
,,,,,,Total Total Ortho Phosphate,0.047131,mg/L,WCMP,6/4/2013,Actual
,,,,,,Total Total Calcium,49.44,mg/L,WCMP,6/4/2013,Actual
,,,,,,Total Total Kjeldahl Nitrogen,0.9167,mg/L,WCMP,6/4/2013,Actual
,,,,,,Total Total Potassium,6.43,mg/L,WCMP,6/4/2013,Actual
,,,,,,Total Chloride,128.0079,mg/L,WCMP,6/4/2013,Actual
,,,,,,Total pH (Lab),7.75,pH,WCMP,6/4/2013,Actual
,,,,,,Total Temperature of Water,20.8,° C,WCMP,6/4/2013,Actual
,,,,,,Total Total Alkalinity,111.9645,mg/L,WCMP,6/4/2013,Actual
,,,,,,Total Total Ammonia,0.262006,mg/L,WCMP,6/4/2013,Actual
,,,,,,Total Total Organic Carbon,4.9,mg/L,WCMP,6/4/2013,Actual
,,,,,,Total Total Sodium,75.73,mg/L,WCMP,6/4/2013,Actual
,,,,,,Total Total Suspended Solids,14,mg/L,WCMP,6/4/2013,Actual
,,,,,,Total Hardness, carbonate,191,mg/l,WCTMP,6/3/2003
,,,,,,Total Nitrogen, Kjeldahl,0.93,mg/l,WCTMP,6/3/2003
,,,,,,Total pH,7.66,,WCTMP,6/3/2003,Actual
,,,,,,Total Phosphorus,0.07,mg/l,WCTMP,6/3/2003,Actual
