#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 10 22 20 00 160  3.1  4.1 99.00 99.00 99.00 999 9999.0  12.6 999.0 999.0 99.0 99.00
2012 10 22 21 00 180  5.7  6.7 99.00 99.00 99.00 999 9999.0  11.7 999.0 999.0 99.0 99.00
2012 10 22 22 00 160  4.1  4.6 99.00 99.00 99.00 999 9999.0  11.7 999.0 999.0 99.0 99.00
2012 10 22 23 00  60  4.1  5.1 99.00 99.00 99.00 999 9999.0  11.5 999.0 999.0 99.0 99.00
2012 10 23 00 00  70  2.1  2.6 99.00 99.00 99.00 999 9999.0  11.3 999.0 999.0 99.0 99.00
2012 10 23 01 00  80  3.1  4.1 99.00 99.00 99.00 999 9999.0  11.4 999.0 999.0 99.0 99.00
2012 10 23 02 00 100  3.6  4.1 99.00 99.00 99.00 999 9999.0  11.6 999.0 999.0 99.0 99.00
2012 10 23 03 00  90  3.1  4.1 99.00 99.00 99.00 999 9999.0  11.7 999.0 999.0 99.0 99.00
2012 10 23 04 00 100  5.1  6.7 99.00 99.00 99.00 999 9999.0  12.0 999.0 999.0 99.0 99.00
2012 10 23 05 00  50  3.6  5.1 99.00 99.00 99.00 999 9999.0  12.0 999.0 999.0 99.0 99.00
2012 10 23 06 00  80  5.1  5.7 99.00 99.00 99.00 999 9999.0  11.7 999.0 999.0 99.0 99.00
2012 10 23 07 00  80  5.7  7.7 99.00 99.00 99.00 999 9999.0  11.9 999.0 999.0 99.0 99.00
2012 10 23 08 00  90  6.2  7.2 99.00 99.00 99.00 999 9999.0  11.8 999.0 999.0 99.0 99.00
2012 10 23 09 00  90  7.7  9.3 99.00 99.00 99.00 999 9999.0  12.3 999.0 999.0 99.0 99.00
2012 10 23 10 00  90  6.2  7.7 99.00 99.00 99.00 999 9999.0  12.0 999.0 999.0 99.0 99.00
2012 10 23 11 15  80  6.2  8.8 99.00 99.00 99.00 999 9999.0  11.9 999.0 999.0 99.0 99.00
2012 10 23 12 00  70  5.1  7.7 99.00 99.00 99.00 999 9999.0  11.8 999.0 999.0 99.0 99.00
2012 10 23 13 00  60  5.7  7.7 99.00 99.00 99.00 999 9999.0  11.7 999.0 999.0 99.0 99.00
2012 10 23 14 00  70  7.2 10.3 99.00 99.00 99.00 999 9999.0  11.8 999.0 999.0 99.0 99.00
2012 10 23 15 00  80  7.7  9.8 99.00 99.00 99.00 999 9999.0  11.7 999.0 999.0 99.0 99.00
2012 10 23 16 00  10  8.8 11.8 99.00 99.00 99.00 999 9999.0  11.7 999.0 999.0 99.0 99.00
